actor,movie_or_TV_name
Maaya Sakamoto,TRIGUN STAMPEDE
Maaya Sakamoto,The First Slam Dunk
Maaya Sakamoto,Arknights
Maaya Sakamoto,The Tatami Time Machine Blues
Maaya Sakamoto,The Tatami Time Machine Blues
Maaya Sakamoto,The Legend of the Galactic Heroes: Die Neue These Collision 3
Ginzo Matsuo,Eden's Bowy
Ginzo Matsuo,Magical DoReMi
Ginzo Matsuo,Neo Ranga
Ginzo Matsuo,Yume no Crayon Oukoku
Ginzo Matsuo,Hell Teacher Nube: At 0 a.m. Nube is Dead!!
Ginzo Matsuo,Cutie Honey Flash
Ginzo Matsuo,Hell Teacher Nube
Ginzo Matsuo,The Vision of Escaflowne
Ginzo Matsuo,Ghost in the Shell
Takashi Matsuyama,Arknights
Takashi Matsuyama,Chainsaw Man
Takashi Matsuyama,Life With an Ordinary Guy Who Reincarnated Into a Total Fantasy Knockout
Takashi Matsuyama,Ryoma! The Prince of Tennis
Takashi Matsuyama,My Senpai Is Annoying
Takashi Matsuyama,The Faraway Paladin
Takashi Matsuyama,Muteking the Dancing Hero
Takashi Matsuyama,"I, Tsushima"
Takashi Matsuyama,Kippa
Mitsuru Miyamoto,Seven Days War
Mitsuru Miyamoto,Kaitou Sentai Lupinranger VS Keisatsu Sentai Patranger en film
Mitsuru Miyamoto,Bungo Stray Dogs: Dead Apple
Mitsuru Miyamoto,Kaitou Sentai Lupinranger VS Keisatsu Sentai Patranger
Mitsuru Miyamoto,After the Rain
Mitsuru Miyamoto,Fireworks
Mitsuru Miyamoto,Classroom of the Elite
Shinji Ogawa,Before The Leaves Fall
Shinji Ogawa,Aldnoah.Zero
Shinji Ogawa,Mobile Suit Gundam Unicorn Film And Live The Final - A Mon Seul Desir
Shinji Ogawa,Ping Pong the Animation
Shigeru Chiba,"The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You"
Shigeru Chiba,Noble Farmer
Shigeru Chiba,Detective Conan: Black Iron Submarine
Shigeru Chiba,Magical Destroyers
Shigeru Chiba,Kaina of the Great Snow Sea
Shigeru Chiba,HIGH CARD
Shigeru Chiba,Handyman Saitou in Another World
Shigeru Chiba,Urusei Yatsura
Shigeru Chiba,BOCCHI THE ROCK!
Masato Yamanouchi,The Vision of Escaflowne
Masato Yamanouchi,Ghost in the Shell
Masato Yamanouchi,Comet in Moominland
Masato Yamanouchi,Spooky Kitaro: The Great Yokai War
Masato Yamanouchi,Document: Fang of the Sun Dougram
Masato Yamanouchi,Space Warriors Baldios
Masato Yamanouchi,Fang of the Sun Dougram
Hiroshi Yanaka,The Apothecary Diaries
Hiroshi Yanaka,The Concierge
Hiroshi Yanaka,My Happy Marriage
Hiroshi Yanaka,Legend of Mana -The Teardrop Crystal-
Hiroshi Yanaka,Bibliophile Princess
Sanryô Odaka,Harmonica Taiyo
Sanryô Odaka,AKBラブナイト 恋工場
Atsuko Tanaka,The Irregular at Magic High School
Atsuko Tanaka,Bayonetta: Bloody Fate
Atsuko Tanaka,Dokidoki! PreCure
Atsuko Tanaka,JoJo's Bizarre Adventure
Atsuko Tanaka,Kokoro Connect
Atsuko Tanaka,Campione!
Yuji Ueda,"Pikachu, What's This Key?"
Yuji Ueda,HaNaYaMaTa
Yuji Ueda,Mushi-Shi: The Shadow That Devours the Sun
Yuji Ueda,Kill la Kill
Yuji Ueda,Pokémon: Eevee & Friends
Yuji Ueda,Sing Meloetta: Search for the Rinka Berries
Yuji Ueda,Rurouni Kenshin: New Kyoto Arc: The Chirps of Light
Maaya Sakamoto,Deaimon: Recipe for Happiness
Maaya Sakamoto,The Legend of the Galactic Heroes: Die Neue These Collision 2
